,gradient_norm_on_full_trainset,loss_on_full_trainset
300,8.277662284504798e-07,0.3976729147051087
301,7.988233873451213e-07,0.3976729147044839
302,7.70892548981547e-07,0.397672914703902
303,7.439383269333299e-07,0.3976729147033601
304,7.179265722715221e-07,0.39767291470285543
305,6.928243302161287e-07,0.39767291470238536
306,6.685997982955944e-07,0.39767291470194766
307,6.452222861817194e-07,0.3976729147015401
308,6.226621767189264e-07,0.39767291470116045
309,6.00890888432049e-07,0.39767291470080696
310,5.798808392425154e-07,0.3976729147004777
311,5.596054115276716e-07,0.397672914700171
312,5.400389185622611e-07,0.3976729146998856
313,5.211565716635171e-07,0.3976729146996195
314,5.029344490564005e-07,0.3976729146993719
315,4.853494654178993e-07,0.39767291469914123
316,4.6837934260050905e-07,0.39767291469892646
317,4.5200258156645086e-07,0.39767291469872645
318,4.361984349555581e-07,0.39767291469854016
319,4.2094688091356477e-07,0.3976729146983665
320,4.062285976683869e-07,0.39767291469820504
321,3.920249391195902e-07,0.39767291469805455
322,3.783179111148888e-07,0.39767291469791444
323,3.6509014867679923e-07,0.3976729146977839
324,3.523248940948108e-07,0.3976729146976623
325,3.400059755412186e-07,0.3976729146975491
326,3.281177867214982e-07,0.3976729146974438
327,3.166452670025341e-07,0.39767291469734556
328,3.0557388235675763e-07,0.3976729146972541
329,2.948896070073066e-07,0.3976729146971689
330,2.845789055497368e-07,0.39767291469708965
331,2.7462871587069054e-07,0.39767291469701593
332,2.6502643261520047e-07,0.3976729146969471
333,2.5575989117320504e-07,0.39767291469688304
334,2.4681735225019263e-07,0.39767291469682337
335,2.3818748709809018e-07,0.39767291469676774
336,2.298593630144021e-07,0.397672914696716
337,2.2182242961515697e-07,0.3976729146966679
338,2.1406650537981152e-07,0.3976729146966231
339,2.0658176483591911e-07,0.3976729146965812
340,1.993587260139788e-07,0.3976729146965423
341,1.9238823854348813e-07,0.3976729146965061
342,1.856614719727338e-07,0.39767291469647226
343,1.7916990458718415e-07,0.3976729146964409
344,1.7290531266531653e-07,0.39767291469641164
345,1.6685976004385548e-07,0.3976729146963844
346,1.610255880425394e-07,0.3976729146963589
347,1.5539540575037427e-07,0.39767291469633526
348,1.4996208070497692e-07,0.39767291469631333
349,1.447187298186852e-07,0.39767291469629285
350,1.3965871067258148e-07,0.3976729146962737
351,1.347756130976738e-07,0.3976729146962559
352,1.3006325108959523e-07,0.39767291469623933
353,1.255156548823051e-07,0.39767291469622384
354,1.2112706350800178e-07,0.3976729146962096
355,1.1689191739747792e-07,0.39767291469619614
356,1.1280485135257208e-07,0.3976729146961837
357,1.0886068782577339e-07,0.39767291469617216
358,1.0505443022884496e-07,0.39767291469616134
359,1.0138125675337828e-07,0.3976729146961513
360,9.783651414563703e-08,0.39767291469614185
361,9.441571185501416e-08,0.3976729146961331
362,9.111451634613617e-08,0.39767291469612503
363,8.792874560614045e-08,0.39767291469611743
364,8.485436385444997e-08,0.3976729146961104
365,8.188747640193923e-08,0.39767291469610383
366,7.902432475869088e-08,0.39767291469609767
367,7.626128183636247e-08,0.397672914696092
368,7.359484736398714e-08,0.3976729146960868
369,7.10216434883914e-08,0.3976729146960818
370,6.853841039853602e-08,0.3976729146960773
371,6.614200234011527e-08,0.397672914696073
372,6.38293834864641e-08,0.39767291469606886
373,6.159762418981923e-08,0.3976729146960652
374,5.944389721825577e-08,0.39767291469606175
375,5.736547422794004e-08,0.3976729146960585
376,5.5359722213615474e-08,0.3976729146960555
377,5.3424100299873785e-08,0.3976729146960527
378,5.155615639839769e-08,0.3976729146960501
379,4.975352419313117e-08,0.3976729146960476
380,4.8013920074292436e-08,0.39767291469604543
381,4.6335140299546944e-08,0.39767291469604327
382,4.471505815658541e-08,0.39767291469604127
383,4.315162133895191e-08,0.3976729146960395
384,4.164284927496891e-08,0.39767291469603794
385,4.0186830593867604e-08,0.3976729146960363
